Opcode,M_Cycle,Label,Addr_Sel,Reg_Dest,Reg_Src,ALU_Op,IDU_Op,Mem_Read,Mem_Write,Is_Done
0x3,1,INC BC M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x3,2,INC BC M2,NONE,NONE,NONE,NONE,BC_INC,0,0,1
0x13,1,INC DE M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x13,2,INC DE M2,NONE,NONE,NONE,NONE,DE_INC,0,0,1
0x23,1,INC HL M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x23,2,INC HL M2,NONE,NONE,NONE,NONE,HL_INC,0,0,1
0x33,1,INC SP M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x33,2,INC SP M2,NONE,NONE,NONE,NONE,SP_INC,0,0,1
0xB,1,DEC BC M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xB,2,DEC BC M2,NONE,NONE,NONE,NONE,BC_DEC,0,0,1
0x1B,1,DEC DE M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x1B,2,DEC DE M2,NONE,NONE,NONE,NONE,DE_DEC,0,0,1
0x2B,1,DEC HL M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x2B,2,DEC HL M2,NONE,NONE,NONE,NONE,HL_DEC,0,0,1
0x3B,1,DEC SP M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x3B,2,DEC SP M2,NONE,NONE,NONE,NONE,SP_DEC,0,0,1
0x9,1,"ADD HL,BC M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0x9,2,"ADD HL,BC M2",NONE,NONE,REG_B,ADD16_HL,NONE,0,0,1
0x19,1,"ADD HL,DE M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0x19,2,"ADD HL,DE M2",NONE,NONE,REG_D,ADD16_HL,NONE,0,0,1
0x29,1,"ADD HL,HL M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0x29,2,"ADD HL,HL M2",NONE,NONE,REG_H,ADD16_HL,NONE,0,0,1
0x39,1,"ADD HL,SP M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0x39,2,"ADD HL,SP M2",NONE,NONE,REG_S,ADD16_HL,NONE,0,0,1
0xE8,1,"ADD SP,e M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xE8,2,"ADD SP,e M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
